text,agenda,questionclass
облачно осадки температура давлениеветер северовосточный,Погода,1
пасмурно время ливень температура давлениеветер юговосточный,Погода,1
облачно осадки температура давлениеветер югозападный,Погода,1
пасмурно осадки температура давлениеветер южный,Погода,1
пасмурно осадки температура давлениеветер южный,Погода,1
пасмурно осадки температура давлениеветер южный,Погода,1
пасмурно осадки температура давлениеветер югозападный,Погода,1
пасмурно дождь температура давлениеветер южный,Погода,1
облачно осадки температура давлениеветер юговосточный,Погода,1
малооблачный осадки температура давлениеветер юговосточный,Погода,1
малооблачный осадки температура давлениеветер югозападный,Погода,1
облачно осадки температура давлениеветер югозападный,Погода,1
облачно осадки температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер югозападный,Погода,1
облачно осадки температура давлениеветер западный,Погода,1
малооблачный осадки температура давлениеветер югозападный,Погода,1
пасмурно дождь температура давлениеветер югозападный,Погода,1
пасмурно дождь температура давлениеветер южный,Погода,1
пасмурно небольшой дождь температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
малооблачный осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно небольшой дождь температура давлениеветер северный,Погода,1
пасмурно небольшой дождь температура давлениеветер северный,Погода,1
облачно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно дождь температура давлениеветер северный,Погода,1
пасмурно небольшой дождь температура давлениеветер северный,Погода,1
пасмурно небольшой дождь температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
малооблачный осадки температура давлениеветер северный,Погода,1
малооблачный осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
малооблачный осадки температура давлениеветер западный,Погода,1
малооблачный осадки температура давлениеветер южный,Погода,1
облачно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
облачно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
пасмурно осадки температура давлениеветер юговосточный,Погода,1
пасмурно осадки температура давлениеветер южный,Погода,1
пасмурно небольшой дождь температура давлениеветер юговосточный,Погода,1
пасмурно дождь температура давлениеветер северовосточный,Погода,1
пасмурно дождь температура давлениеветер северовосточный,Погода,1
пасмурно небольшой дождь температура давлениеветер северо восточ,Погода,1
облачно осадки температура давлениеветер восточный,Погода,1
пасмурно осадки температура давлениеветер южный,Погода,1
пасмурно осадки температура давлениеветер югозападный,Погода,1
пасмурно осадки температура давлениеветер югозападный,Погода,1
пасмурно осадки температура давлениеветер югозападный,Погода,1
пасмурно небольшой дождь температура давлениеветер югозападный,Погода,1
пасмурно дождь температура давлениеветер югозападный,Погода,1
пасмурно дождь температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер западный,Погода,1
пасмурно дождь температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер северо западна,Погода,1
пасмурно время ливень температура давлениеветер северозапад,Погода,1
пасмурно небольшой дождь температура давлениеветер северо западна,Погода,1
облачно осадки температура давлениеветер северозападный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
пасмурно время ливень температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
облачно осадки температура давлениеветер северозападный,Погода,1
пасмурно время ливень температура давлениеветер северо западна,Погода,1
пасмурно небольшой дождь температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно время ливень температура давлениеветер северо западна,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно небольшой дождь температура давлениеветер северо западна,Погода,1
пасмурно небольшой дождь температура давлениеветер северо западна,Погода,1
пасмурно дождь температура давлениеветер западный,Погода,1
малооблачный осадки температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер югозападный,Погода,1
малооблачный осадки температура давлениеветер югозападный,Погода,1
малооблачный осадки температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
облачно время ливень температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
облачно время ливень температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно дождь температура давлениеветер северный,Погода,1
пасмурно небольшой дождь температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер западный,Погода,1
пасмурно дождь температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер югозападный,Погода,1
пасмурно осадки температура давлениеветер югозападный,Погода,1
облачно осадки температура давлениеветер западный,Погода,1
облачно осадки температура давлениеветер западный,Погода,1
малооблачный осадки температура давлениеветер западный,Погода,1
облачно осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
облачно осадки температура давлениеветер западный,Погода,1
облачно небольшой дождь температура давлениеветер западный,Погода,1
пасмурно дождь температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер югозападный,Погода,1
облачно осадки температура давлениеветер югозападный,Погода,1
облачно осадки температура давлениеветер югозападный,Погода,1
облачно время ливень температура давлениеветер югозападный,Погода,1
облачно время ливень температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
облачно осадки температура давлениеветер западный,Погода,1
облачно время ливень температура давлениеветер югозападный,Погода,1
облачно осадки температура давлениеветер восточный,Погода,1
ясно осадки температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно небольшой дождь температура давлениеветер северозападный,Погода,1
облачно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
облачно время ливень температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер западный,Погода,1
облачно небольшой дождь температура давлениеветер югозападный,Погода,1
облачно возможный гроза температура давлениеветер югозападный,Погода,1
облачно время ливень температура давлениеветер южный,Погода,1
облачно ливень температура давлениеветер южный,Погода,1
облачно ливень температура давлениеветер южный,Погода,1
облачно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
малооблачный осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
пасмурно осадки температура давлениеветер югозападный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
облачно осадки температура давлениеветер западный,Погода,1
облачно небольшой дождь температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
облачно осадки температура давлениеветер западный,Погода,1
пасмурно дождь температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер северо западна,Погода,1
малооблачный осадки температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
малооблачный осадки температура давлениеветер югозападный,Погода,1
облачно время ливень температура давлениеветер восточный,Погода,1
облачно ливень температура давлениеветер юговосточный,Погода,1
облачно дождь температура давлениеветер северный,Погода,1
облачно возможный гроза температура давлениеветер южный,Погода,1
малооблачный осадки температура давлениеветер северный,Погода,1
малооблачный осадки температура давлениеветер западный,Погода,1
малооблачный осадки температура давлениеветер югозападный,Погода,1
облачно возможный гроза температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
малооблачный осадки температура давлениеветер юговосточный,Погода,1
облачно осадки температура давлениеветер восточный,Погода,1
облачно осадки температура давлениеветер восточный,Погода,1
облачно осадки температура давлениеветер восточный,Погода,1
пасмурно возможный гроза температура давлениеветер северо восточный,Погода,1
облачно осадки температура давлениеветер восточный,Погода,1
малооблачный осадки температура давлениеветер восточный,Погода,1
облачно время ливень температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер северовосточный,Погода,1
малооблачный осадки температура давлениеветер северо восточный,Погода,1
облачно ливень температура давлениеветер восточный,Погода,1
облачно ливень температура давлениеветер восточный,Погода,1
облачно возможный гроза температура давлениеветер южный,Погода,1
облачно осадки температура давлениеветер юговосточный,Погода,1
облачно осадки температура давлениеветер восточный,Погода,1
малооблачный осадки температура давлениеветер юговосточный,Погода,1
пасмурно осадки температура давлениеветер южный,Погода,1
облачно осадки температура давлениеветер южный,Погода,1
облачно небольшой дождь температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
облачно время ливень температура давлениеветер южный,Погода,1
облачно осадки температура давлениеветер южный,Погода,1
облачно осадки температура давлениеветер восточный,Погода,1
облачно гроза температура давлениеветер северовосточный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
облачно возможный гроза температура давлениеветер северозападный,Погода,1
облачно гроза температура давлениеветер северный,Погода,1
облачно возможный гроза температура давлениеветер северозападный,Погода,1
облачно осадки температура давлениеветер северозападный,Погода,1
малооблачный осадки температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер югозападный,Погода,1
облачно осадки температура давлениеветер восточный,Погода,1
облачно осадки температура давлениеветер восточный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер северовосточный,Погода,1
малооблачный осадки температура давлениеветер северозападный,Погода,1
ясно осадки температура давлениеветер штиль aug,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
малооблачный осадки температура давлениеветер северозападный,Погода,1
облачно небольшой дождь температура давлениеветер югозападный,Погода,1
пасмурно дождь температура давлениеветер южный,Погода,1
облачно возможный гроза температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
малооблачный осадки температура давлениеветер южный,Погода,1
малооблачный осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер восточный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
облачно возможный гроза температура давлениеветер западный,Погода,1
облачно возможный гроза температура давлениеветер югозападный,Погода,1
облачно возможный гроза температура давлениеветер южный,Погода,1
облачно возможный гроза температура давлениеветер южный,Погода,1
облачно возможный гроза температура давлениеветер юговосточный,Погода,1
облачно время ливень температура давлениеветер южный,Погода,1
малооблачный осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
малооблачный осадки температура давлениеветер южный,Погода,1
облачно время ливень температура давлениеветер южный,Погода,1
облачно возможный гроза температура давлениеветер югозападный,Погода,1
облачно осадки температура давлениеветер югозападный,Погода,1
облачно осадки температура давлениеветер южный,Погода,1
облачно время ливень температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
облачно осадки температура давлениеветер южный,Погода,1
малооблачный осадки температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
ясно осадки температура давлениеветер северозападный,Погода,1
облачно осадки температура давлениеветер северозападный,Погода,1
облачно время ливень температура давлениеветер северозападный,Погода,1
облачно время ливень температура давлениеветер западный,Погода,1
облачно ливень температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер югозападный,Погода,1
малооблачный осадки температура давлениеветер западный,Погода,1
ясно осадки температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер северовосточный,Погода,1
ясно осадки температура давлениеветер северовосточный,Погода,1
малооблачный осадки температура давлениеветер северо восточный,Погода,1
облачно время ливень температура давлениеветер северо восточ,Погода,1
облачно ливень температура давлениеветер северовосточный,Погода,1
ясно осадки температура давлениеветер северный,Погода,1
облачно время ливень температура давлениеветер северный,Погода,1
малооблачный осадки температура давлениеветер северный,Погода,1
малооблачный осадки температура давлениеветер северо восточный,Погода,1
ясно осадки температура давлениеветер северовосточный,Погода,1
ясно осадки температура давлениеветер северный,Погода,1
облачно возможный гроза температура давлениеветер северо восточный,Погода,1
пасмурно возможный гроза температура давлениеветер северо восточный,Погода,1
пасмурно небольшой дождь температура давлениеветер северо восточ,Погода,1
пасмурно осадки температура давлениеветер северовосточный,Погода,1
облачно возможный гроза температура давлениеветер восточный,Погода,1
пасмурно возможный гроза температура давлениеветер восточный,Погода,1
пасмурно гроза температура давлениеветер восточный,Погода,1
облачно возможный гроза температура давлениеветер северовосточный,Погода,1
