text,agenda,question
"Если бы вам пришлось есть одно блюдо до конца жизни, что бы это было?",Вопрос,1
"Представьте, что у вас есть выбор: остаться на необитаемом острове одному или со своим злейшим врагом. Что бы вы выбрали и почему?",Вопрос,1
"Если бы инопланетяне прилетели на Землю завтра и предложили бы вам улететь с ними, вы бы согласились?",Вопрос,1
"60-е, 70-е, 80-е, 90-е годы: какое десятилетие вы любите больше всего и почему?",Вопрос,1
"Что из купленного в этом году, вы любите больше всего?",Вопрос,1
Какой самый лучший совет вы когда-либо получали?,Вопрос,1
"Что, по-вашему, относится к самым удивительным научным открытиям?",Вопрос,1
О чем вы мечтаете?,Вопрос,1
"Если бы вы участвовали в соревновании типа Мисс/Мистер Мира, что бы вы представили на конкурсе талантов?",Вопрос,1
Как бы вы назвали свою автобиографию?,Вопрос,1
"Представьте, что вы очень богаты и вам больше не нужно работать. Чем бы вы занялись?",Вопрос,1
"Если бы вам пришлось удалить все приложения, кроме 3-х, со своего смартфона, что бы вы оставили и почему?",Вопрос,1
Какое ваше любимое волшебное или мифологическое животное?,Вопрос,1
Кто ваш любимый сказочный персонаж? Хотели бы вы оказаться на его/ее месте?,Вопрос,1
Расскажите о доме/квартире вашей мечты.,Вопрос,1
"Представьте, что вы собрались в кругосветное плавание. Как бы вы назвали свой корабль и почему?",Вопрос,1
"Если бы вы были олимпийским спортсменом, какой бы это был вид спорта и почему?",Вопрос,1
Кого вы считаете лучшим в мире бизнеса и почему?,Вопрос,1
Расскажите о вашей худшей работе.,Вопрос,1
С кем из известных людей за всю историю вы бы хотели подружиться и почему?,Вопрос,1
"Если бы у вас была суперсила, то какая и почему?",Вопрос,1
Какую бы музыкальную группу или исполнителя вы хотели бы позвать к себе на праздник?,Вопрос,1
Кем вы хотели стать в детстве?,Вопрос,1
Есть ли у вас любимая традиция или праздник? Что это?,Вопрос,1
Какой вымышленный мир или место вы бы хотели посетить?,Вопрос,1
Что вы любите есть на завтрак?,Вопрос,1
Какое ваше любимое время суток и почему?,Вопрос,1
Кофе или чай?,Вопрос,1
Телепортация или полет?,Вопрос,1
Какой ваш любимый сериал и почему?,Вопрос,1
"Если бы у вас была машина времени, вы бы отправились в прошлое или в будущее?",Вопрос,1
"Как вы думаете, вам было бы комфортно прожить без своего смартфона сутки?",Вопрос,1
Какой ваш любимый десерт?,Вопрос,1
Какую игру вы любили в детстве?,Вопрос,1
Вы путешественник или домосед?,Вопрос,1
"Если бы вы не работали тем, кем работаете сейчас, кем бы вы стали?",Вопрос,1
"Какой ваш любимый город/страна из тех, что вы успели посетить?",Вопрос,1
"Что бы вы сделали, если бы встретили своего кумира?",Вопрос,1
"Есть ли у вас так называемый “bucket list” – список вещей, которые нужно успеть сделать в жизни? Что в нем самое важное/интересное?",Вопрос,1
Расскажите какой-то забавный факт о себе.,Вопрос,1
Какое ваше любимое блюдо и почему?,Вопрос,1
Играете ли вы на каких-то музыкальных инструментах? На каких?,Вопрос,1
Вы больше любите кошек или собак?,Вопрос,1
Сколько языков вы знаете?,Вопрос,1
Какую самую странную еду вы когда-либо ели?,Вопрос,1
Что самое необычное вам приходилось делать?,Вопрос,1
Какие обои у вас на телефоне/компьютере?,Вопрос,1
"Представьте, что вы можете выбрать неограниченный запас какого-то продукта на всю жизнь. Что вы выберете?",Вопрос,1
Какое время года вы любите больше всего и почему?,Вопрос,1
Вы любите петь/танцевать?,Вопрос,1
Что из фруктов и овощей вы любите больше всего?,Вопрос,1
"Если бы вы могли пообщаться с любым персонажем сказки/фильма, кого бы вы выбрали и почему?",Вопрос,1
"Если бы вы могли пожить в любой стране на протяжении года, что бы вы выбрали и почему?",Вопрос,1
"Если бы вы могли совершить какое-то преступление, которое сошло бы вам с рук, что бы вы сделали и почему?",Вопрос,1
"Если бы вы могли снова увидеть какой-то фильм впервые, что бы вы выбрали и почему?",Вопрос,1
"Если бы вы могли жить в любой стране, где бы вы жили?",Вопрос,1
"Если бы вы могли выбрать двух известных людей, чтобы поужинать с ними, кого бы вы выбрали?",Вопрос,1
"Если бы вы могли быть животным, кем бы вы были и почему?",Вопрос,1
"Если бы вы могли поменяться местами с кем-либо в мире, кто бы это был и почему?",Вопрос,1
"Если бы вы собрались менять имя, как бы вы назвали себя?",Вопрос,1
"Если бы у вас был персональный ассистент, что бы вы делегировали ему?",Вопрос,1
"Если бы вы могли мгновенно стать экспертом в чем-то, что бы это было?",Вопрос,1
"Если бы вам гарантировано что-то предоставили (кроме денег), что бы вы выбрали?",Вопрос,1
"Если бы вам пришлось преподавать какую-то одну дисциплину, что бы это было?",Вопрос,1
"Если бы вы могли мгновенно выучить какой-то язык (кроме английского), что бы вы выбрали?",Вопрос,1
"Если бы вы могли стать бессмертными, в каком возрасте вы бы остановили старение и почему?",Вопрос,1
"Если бы вы участвовали в реалити-шоу, какое шоу вы бы выбрали и почему?",Вопрос,1
"Если бы вы могли исключить одну вещь из своего распорядка дня, что бы это было и почему?",Вопрос,1
"Если бы вы могли полететь на Марс, вы бы полетели? Почему да, почему нет?",Вопрос,1
"Если бы вы могли телепортироваться прямо сейчас, в какое место вы бы перенеслись и почему?",Вопрос,1
"Если бы вы могли написать книгу, которая гарантированно станет бестселлером, о чем бы вы написали?",Вопрос,1
Вы бы предпочли жить в океане или на Луне?,Вопрос,1
Вы бы предпочли потерять все свои деньги или все свои фотографии?,Вопрос,1
Вы бы предпочли уметь летать или становиться невидимым?,Вопрос,1
"Вы бы предпочли жить там, где всегда холодно или всегда жарко?",Вопрос,1
Вы бы предпочли всегда немного опаздывать или приходить чуть раньше?,Вопрос,1
Вы бы предпочли отказаться от своего смартфона или компьютера?,Вопрос,1
Вы бы предпочли жить без тепла и переменного тока или без социальных сетей?,Вопрос,1
Вы бы предпочли быть самым смешным или самым умным человеком в комнате?,Вопрос,1
Вы бы предпочли бегать со скоростью 100 км/час или летать со скоростью 10 км/час?,Вопрос,1
Вы бы предпочли быть супергероем или лучшим шеф-поваром в мире?,Вопрос,1
Вы бы предпочли быть олимпийским золотым призером или космонавтом?,Вопрос,1
"Если бы вам пришлось преподавать какую-то одну дисциплину, что бы это было?",Вопрос,1
"Если бы вы могли мгновенно выучить какой-то язык (кроме английского), что бы вы выбрали?",Вопрос,1
"Если бы вы могли стать бессмертными, в каком возрасте вы бы остановили старение и почему?",Вопрос,1
"Если бы вы участвовали в реалити-шоу, какое шоу вы бы выбрали и почему?",Вопрос,1
"Если бы вы могли исключить одну вещь из своего распорядка дня, что бы это было и почему?",Вопрос,1
"Если бы вы могли полететь на Марс, вы бы полетели? Почему да, почему нет?",Вопрос,1
"Если бы вы могли телепортироваться прямо сейчас, в какое место вы бы перенеслись и почему?",Вопрос,1
"Если бы вы могли написать книгу, которая гарантированно станет бестселлером, о чем бы вы написали?",Вопрос,1
Вы бы предпочли жить в океане или на Луне?,Вопрос,1
Вы бы предпочли потерять все свои деньги или все свои фотографии?,Вопрос,1
Вы бы предпочли уметь летать или становиться невидимым?,Вопрос,1
"Вы бы предпочли жить там, где всегда холодно или всегда жарко?",Вопрос,1
Вы бы предпочли всегда немного опаздывать или приходить чуть раньше?,Вопрос,1
Вы бы предпочли отказаться от своего смартфона или компьютера?,Вопрос,1
Вы бы предпочли жить без тепла и переменного тока или без социальных сетей?,Вопрос,1
Вы бы предпочли быть самым смешным или самым умным человеком в комнате?,Вопрос,1
Вы бы предпочли бегать со скоростью 100 км/час или летать со скоростью 10 км/час?,Вопрос,1
Вы бы предпочли быть супергероем или лучшим шеф-поваром в мире?,Вопрос,1
Вы бы предпочли быть олимпийским золотым призером или космонавтом?,Вопрос,1
Вы бы предпочли быть олимпийским золотым призером или космонавтом?,Вопрос,1
