"text","agenda","hi_th_command"
хай,Приветствие,2
приет,Приветствие,2
приветствие,Приветствие,2
🙋,Приветствие,2
привет,Приветствие,2
коллега добрый день,Приветствие,2
добрый вечер,Приветствие,2
добро пожаловать,Приветствие,2
слава ухань,Приветствие,2
🙋 ‍ ♀ ️,Приветствие,2
🙋,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
привет весь,Приветствие,2
дратуть,Приветствие,2
скажи,Команда,1
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
дратуть,Приветствие,2
говори,Команда,1
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
приветствие,Приветствие,2
🙋,Приветствие,2
привет,Приветствие,2
коллега добрый день,Приветствие,2
добрый вечер,Приветствие,2
добро пожаловать,Приветствие,2
слава ухань,Приветствие,2
дратуть,Приветствие,2
знай,Команда,1
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
дратуть,Приветствие,2
стань,Команда,1
хоти,Команда,1
имей,Команда,1
видь,Команда,1
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
приветствие,Приветствие,2
🙋,Приветствие,2
привет,Приветствие,2
коллега добрый день,Приветствие,2
добрый вечер,Приветствие,2
добро пожаловать,Приветствие,2
слава ухань,Приветствие,2
🙋 ‍ ♀ ️,Приветствие,2
🙋,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
привет весь,Приветствие,2
привет,Приветствие,2
коллега добрый день,Приветствие,2
добрый вечер,Приветствие,2
добро пожаловать,Приветствие,2
слава ухань,Приветствие,2
дратуть,Приветствие,2
ведуй,Команда,1
дороу,Приветствие,2
прива,Приветствие,2
дороу,Приветствие,2
здравствовать,Приветствие,2
здравствовать,Приветствие,2
здравствовать,Приветствие,2
здравствовать,Приветствие,2
здравствовать,Приветствие,2
здравствовать,Приветствие,2
здравствовать,Приветствие,2
здравствовать,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
дороу,Приветствие,2
здар,Приветствие,2
здар,Приветствие,2
здар,Приветствие,2
здар,Приветствие,2
здар,Приветствие,2
здар,Приветствие,2
здар,Приветствие,2
здар,Приветствие,2
здар,Приветствие,2
здар,Приветствие,2
здар,Приветствие,2
добрый день,Приветствие,2
рота подъем,Приветствие,2
вставать,Приветствие,2
вечер хата,Приветствие,2
буэнос ночес,Приветствие,2
буэнос тардес,Приветствие,2
буэнос диас,Приветствие,2
хол,Приветствие,2
ола,Приветствие,2
бонжур,Приветствие,2
живи,Команда,1
хай хай,Приветствие,2
хай,Приветствие,2
кулити,Приветствие,2
дратуть,Приветствие,2
дароу,Приветствие,2
дар,Приветствие,2
дар,Приветствие,2
приветствовать,Приветствие,2
приветос,Приветствие,2
прифок,Приветствие,2
приведа,Приветствие,2
привет,Приветствие,2
хеллоу,Приветствие,2
салют,Приветствие,2
здаровка,Приветствие,2
здар,Приветствие,2
здрасте,Приветствие,2
здар,Приветствие,2
здравие,Приветствие,2
здравствовать,Приветствие,2
здраствовать,Приветствие,2
день добрый,Приветствие,2
утречко добрый,Приветствие,2
утро добрый,Приветствие,2
добрый вечер,Приветствие,2
добрый утро,Приветствие,2
приветик,Приветствие,2
приветуля,Приветствие,2
приветик пистолетик,Приветствие,2
приветик пистолетик,Приветствие,2
привет погода сегодня норма,Приветствие,2
сделай,Команда,1
распознай,Команда,1
скажи,Команда,1
уйди,Команда,1
прийди,Команда,1
отойди,Команда,1
стой,Команда,1
иди,Команда,1
накажи,Команда,1
давай,Команда,1
выбирай,Команда,1
будь,Команда,1
молчи,Команда,1
скажи,Команда,1
говори,Команда,1
знай,Команда,1
стань,Команда,1
хоти,Команда,1
имей,Команда,1
видь,Команда,1
ведуй,Команда,1
живи,Команда,1
делай,Команда,1
работай,Команда,1
понимай,Команда,1
пойди,Команда,1
дай,Команда,1
спроси,Команда,1
получи,Команда,1
сиди,Команда,1
окажись,Команда,1
откажись,Команда,1
возьми,Команда,1
найди,Команда,1
стой,Команда,1
реши,Команда,1
прийми,Команда,1
читай,Команда,1
бывай,Команда,1
веди,Команда,1
хоти,Команда,1
весь,Команда,1
покажи,Команда,1
поставь,Команда,1
назови,Команда,1
требуй,Команда,1
сядь,Команда,1
установи,Команда,1
подними,Команда,1
умей,Команда,1
веди,Команда,1
встань,Команда,1
проводи,Команда,1
брось,Команда,1
объясни,Команда,1
убей,Команда,1
умри,Команда,1
выгляди,Команда,1
попроси,Команда,1
служи,Команда,1
состой,Команда,1
знач,Команда,1
схвати,Команда,1
позвони,Команда,1
имей,Команда,1
стремись,Команда,1
удивись,Команда,1
виси,Команда,1
оставь,Команда,1
сыграй,Команда,1
поддержи,Команда,1
следи,Команда,1
включи,Команда,1
меняй,Команда,1
включи,Команда,1
теряй,Команда,1
повернись,Команда,1
поворотись,Команда,1
возьмись,Команда,1
прочти,Команда,1
тяни,Команда,1
введи,Команда,1
напомни,Команда,1
докажи,Команда,1
приготовьте,Команда,1
запекайте,Команда,1
возьмите,Команда,1
взбейте,Команда,1
добавьте,Команда,1
почистите,Команда,1
перемешайте,Команда,1
залейте,Команда,1
реши,Команда,1
фас,Команда,1
встать,Команда,1
сесть,Команда,1
разойтись,Команда,1
построиться,Команда,1
нарисуй,Команда,1
покрасить!,Команда,1
сделать!,Команда,1
распознать!,Команда,1
сказать!,Команда,1
уйти!,Команда,1
прийти!,Команда,1
отойти!,Команда,1
стоять!,Команда,1
идти!,Команда,1
назать!,Команда,1
давать!,Команда,1
выбирать!,Команда,1
быть!,Команда,1
молчать!,Команда,1
сказать!,Команда,1
говорить,Команда,1
знать!,Команда,1
стоять!,Команда,1
хотеть!,Команда,1
иметь!,Команда,1
видь!,Команда,1
ведуй,Команда,1
живи,Команда,1
делай,Команда,1
работай,Команда,1
понимай,Команда,1
пойди,Команда,1
дай,Команда,1
спроси,Команда,1
получи,Команда,1
сиди,Команда,1
окажись,Команда,1
откажись,Команда,1
возьми,Команда,1
найди,Команда,1
стой,Команда,1
реши,Команда,1
прийми,Команда,1
читай,Команда,1
бывай,Команда,1
веди,Команда,1
хоти,Команда,1
весь,Команда,1
покажи,Команда,1
поставь,Команда,1
назови,Команда,1
требуй,Команда,1
сядь,Команда,1
установи,Команда,1
подними,Команда,1
умей,Команда,1
веди,Команда,1
встань,Команда,1
проводи,Команда,1
брось,Команда,1
объясни,Команда,1
убей,Команда,1
умри,Команда,1
выгляди,Команда,1
попроси,Команда,1
служи,Команда,1
состой,Команда,1
знач,Команда,1
схвати,Команда,1
позвони,Команда,1
имей,Команда,1
стремись,Команда,1
удивись,Команда,1
виси,Команда,1
оставь,Команда,1
сыграй,Команда,1
поддержи,Команда,1
следи,Команда,1
включи,Команда,1
меняй,Команда,1
включи,Команда,1
теряй,Команда,1
повернись,Команда,1
поворотись,Команда,1
возьмись,Команда,1
прочти,Команда,1
тяни,Команда,1
введи,Команда,1
напомни,Команда,1
докажи,Команда,1
приготовьте,Команда,1
запекайте,Команда,1
возьмите,Команда,1
взбейте,Команда,1
добавьте,Команда,1
почистите,Команда,1
перемешайте,Команда,1
залейте,Команда,1
реши,Команда,1
фас,Команда,1
встать,Команда,1
сесть,Команда,1
разойтись,Команда,1
построиться,Команда,1
нари­суй,Команда,1
покрась,Команда,1
скажи,Команда,1
говори,Команда,1
говорить!,Команда,1
сказать!,Команда,1
сделай,Команда,1
распознай,Команда,1
скажи,Команда,1
уйди,Команда,1
прийди,Команда,1
отойди,Команда,1
стой,Команда,1
иди,Команда,1
накажи,Команда,1
давай,Команда,1
выбирай,Команда,1
будь,Команда,1
молчи,Команда,1
скажи,Команда,1
говори,Команда,1
знай,Команда,1
стань,Команда,1
хоти,Команда,1
имей,Команда,1
видь,Команда,1
ведуй,Команда,1
живи,Команда,1
делай,Команда,1
работай,Команда,1
понимай,Команда,1
пойди,Команда,1
дай,Команда,1
спроси,Команда,1
получи,Команда,1
сиди,Команда,1
окажись,Команда,1
откажись,Команда,1
возьми,Команда,1
найди,Команда,1
стой,Команда,1
реши,Команда,1
прийми,Команда,1
читай,Команда,1
бывай,Команда,1
веди,Команда,1
хоти,Команда,1
весь,Команда,1
покажи,Команда,1
поставь,Команда,1
назови,Команда,1
требуй,Команда,1
сядь,Команда,1
установи,Команда,1
подними,Команда,1
умей,Команда,1
веди,Команда,1
встань,Команда,1
проводи,Команда,1
брось,Команда,1
объясни,Команда,1
убей,Команда,1
умри,Команда,1
выгляди,Команда,1
попроси,Команда,1
служи,Команда,1
состой,Команда,1
знач,Команда,1
схвати,Команда,1
позвони,Команда,1
имей,Команда,1
стремись,Команда,1
удивись,Команда,1
виси,Команда,1
оставь,Команда,1
сыграй,Команда,1
поддержи,Команда,1
следи,Команда,1
включи,Команда,1
меняй,Команда,1
включи,Команда,1
теряй,Команда,1
повернись,Команда,1
поворотись,Команда,1
возьмись,Команда,1
прочти,Команда,1
тяни,Команда,1
введи,Команда,1
напомни,Команда,1
докажи,Команда,1
приготовьте,Команда,1
запекайте,Команда,1
возьмите,Команда,1
взбейте,Команда,1
добавьте,Команда,1
почистите,Команда,1
перемешайте,Команда,1
залейте,Команда,1
реши,Команда,1
фас,Команда,1
встать,Команда,1
сесть,Команда,1
разойтись,Команда,1
построиться,Команда,1
нарисуй,Команда,1
покрасить!,Команда,1
сделать!,Команда,1
распознать!,Команда,1
сказать!,Команда,1
уйти!,Команда,1
прийти!,Команда,1
отойти!,Команда,1
стоять!,Команда,1
идти!,Команда,1
назать!,Команда,1
давать!,Команда,1
выбирать!,Команда,1
быть!,Команда,1
молчать!,Команда,1
сказать!,Команда,1
говорить,Команда,1
знать!,Команда,1
стоять!,Команда,1
хотеть!,Команда,1
иметь!,Команда,1
видь!,Команда,1
ведуй,Команда,1
живи,Команда,1
делай,Команда,1
работай,Команда,1
понимай,Команда,1
пойди,Команда,1
дай,Команда,1
спроси,Команда,1
получи,Команда,1
сиди,Команда,1
окажись,Команда,1
откажись,Команда,1
возьми,Команда,1
найди,Команда,1
стой,Команда,1
реши,Команда,1
прийми,Команда,1
читай,Команда,1
бывай,Команда,1
веди,Команда,1
хоти,Команда,1
весь,Команда,1
покажи,Команда,1
поставь,Команда,1
назови,Команда,1
требуй,Команда,1
сядь,Команда,1
установи,Команда,1
подними,Команда,1
умей,Команда,1
веди,Команда,1
встань,Команда,1
проводи,Команда,1
брось,Команда,1
объясни,Команда,1
убей,Команда,1
умри,Команда,1
выгляди,Команда,1
попроси,Команда,1
служи,Команда,1
состой,Команда,1
знач,Команда,1
схвати,Команда,1
позвони,Команда,1
имей,Команда,1
стремись,Команда,1
удивись,Команда,1
виси,Команда,1
оставь,Команда,1
сыграй,Команда,1
поддержи,Команда,1
следи,Команда,1
включи,Команда,1
меняй,Команда,1
включи,Команда,1
теряй,Команда,1
повернись,Команда,1
поворотись,Команда,1
возьмись,Команда,1
прочти,Команда,1
тяни,Команда,1
введи,Команда,1
напомни,Команда,1
докажи,Команда,1
приготовьте,Команда,1
запекайте,Команда,1
возьмите,Команда,1
взбейте,Команда,1
добавьте,Команда,1
почистите,Команда,1
перемешайте,Команда,1
залейте,Команда,1
реши,Команда,1
фас,Команда,1
встать,Команда,1
сесть,Команда,1
разойтись,Команда,1
построиться,Команда,1
нари­суй,Команда,1
покрась,Команда,1
миса реши,Команда,1
миса стань,Команда,1
миса фас,Команда,1
миса разойдись,Команда,1
миса сядь,Команда,1
миса уйди,Команда,1
миса распознай,Команда,1
миса увеличь,Команда,1
миса уменьши,Команда,1
миса установи,Команда,1
миса выключи,Команда,1
миса включи,Команда,1
миса включи,Команда,1
миса включи,Команда,1
миса включи музыку.,Команда,1
миса включи что-нибудь.,Команда,1
миса выключи музыку.,Команда,1
включить музыку из google music,Команда,1
миса включи песню «впусти музыку».,Команда,1
миса включи песню «моряк».,Команда,1
включить песню по названию,Команда,1
миса включи последний альбом би-2.,Команда,1
миса включи альбом «meteora» linkin park.,Команда,1
включить альбом,Команда,1
миса следующий трек.,Команда,1
миса предыдущий трек.,Команда,1
миса 15 умножить на 16.,Команда,1
миса 420 разделить на 15.,Команда,1
миса расписание кинотеатров на завтра.,Команда,1
миса включи телевизор.,Команда,1
миса выключи телевизор.,Команда,1
миса пауза.,Команда,1
миса возобнови.,Команда,1
миса дальше.,Команда,1
миса предыдущее видео.,Команда,1
миса сделай громче.,Команда,1
миса сделай тише.,Команда,1
миса включи ютуб.,Команда,1
миса включи трейлер веном на телевизоре.,Команда,1
миса включи весёлое видео.,Команда,1
миса покажи клип linkin park.,Команда,1
миса включи новости.,Команда,1
миса расскажи новости.,Команда,1
миса новости спорта.,Команда,1
миса новости политики.,Команда,1
реши,Команда,1
стань,Команда,1
фас,Команда,1
разойдись,Команда,1
сядь,Команда,1
уйди,Команда,1
распознай,Команда,1
увеличь,Команда,1
уменьши,Команда,1
установи,Команда,1
выключи,Команда,1
включи,Команда,1
включи,Команда,1
включи,Команда,1
включи музыку.,Команда,1
включи что-нибудь.,Команда,1
выключи музыку.,Команда,1
включить музыку из google music,Команда,1
включи песню «впусти музыку».,Команда,1
включи песню «моряк».,Команда,1
включить песню по названию,Команда,1
включи последний альбом би-2.,Команда,1
включи альбом «meteora» linkin park.,Команда,1
включить альбом,Команда,1
следующий трек.,Команда,1
предыдущий трек.,Команда,1
"15 умножить на 16.",Команда,1
"420 разделить на 15.",Команда,1
расписание кинотеатров на завтра.,Команда,1
включи телевизор.,Команда,1
выключи телевизор.,Команда,1
пауза.,Команда,1
возобнови.,Команда,1
дальше.,Команда,1
предыдущее видео.,Команда,1
сделай громче.,Команда,1
сделай тише.,Команда,1
включи ютуб.,Команда,1
включи трейлер веном на телевизоре.,Команда,1
включи весёлое видео.,Команда,1
покажи клип linkin park.,Команда,1
включи новости.,Команда,1
расскажи новости.,Команда,1
новости спорта.,Команда,1
новости политики.,Команда,1
сделай,Команда,1
распознай,Команда,1
скажи,Команда,1
уйди,Команда,1
прийди,Команда,1
отойди,Команда,1
стой,Команда,1
иди,Команда,1
накажи,Команда,1
давай,Команда,1
выбирай,Команда,1
будь,Команда,1
молчи,Команда,1
скажи,Команда,1
говори,Команда,1
знай,Команда,1
стань,Команда,1
хоти,Команда,1
имей,Команда,1
видь,Команда,1
ведуй,Команда,1
живи,Команда,1
делай,Команда,1
работай,Команда,1
понимай,Команда,1
пойди,Команда,1
дай,Команда,1
спроси,Команда,1
получи,Команда,1
сиди,Команда,1
окажись,Команда,1
откажись,Команда,1
возьми,Команда,1
найди,Команда,1
стой,Команда,1
реши,Команда,1
прийми,Команда,1
читай,Команда,1
бывай,Команда,1
веди,Команда,1
хоти,Команда,1
весь,Команда,1
покажи,Команда,1
поставь,Команда,1
назови,Команда,1
требуй,Команда,1
сядь,Команда,1
установи,Команда,1
подними,Команда,1
умей,Команда,1
веди,Команда,1
встань,Команда,1
проводи,Команда,1
брось,Команда,1
объясни,Команда,1
убей,Команда,1
умри,Команда,1
выгляди,Команда,1
попроси,Команда,1
служи,Команда,1
состой,Команда,1
знач,Команда,1
схвати,Команда,1
позвони,Команда,1
имей,Команда,1
стремись,Команда,1
удивись,Команда,1
виси,Команда,1
оставь,Команда,1
сыграй,Команда,1
поддержи,Команда,1
следи,Команда,1
включи,Команда,1
меняй,Команда,1
включи,Команда,1
теряй,Команда,1
повернись,Команда,1
поворотись,Команда,1
возьмись,Команда,1
прочти,Команда,1
тяни,Команда,1
введи,Команда,1
напомни,Команда,1
докажи,Команда,1
приготовьте,Команда,1
запекайте,Команда,1
возьмите,Команда,1
взбейте,Команда,1
добавьте,Команда,1
почистите,Команда,1
перемешайте,Команда,1
залейте,Команда,1
реши,Команда,1
фас,Команда,1
встать,Команда,1
сесть,Команда,1
разойтись,Команда,1
построиться,Команда,1
нарисуй,Команда,1
покрасить!,Команда,1
сделать!,Команда,1
распознать!,Команда,1
сказать!,Команда,1
уйти!,Команда,1
прийти!,Команда,1
отойти!,Команда,1
стоять!,Команда,1
идти!,Команда,1
назать!,Команда,1
давать!,Команда,1
выбирать!,Команда,1
быть!,Команда,1
молчать!,Команда,1
сказать!,Команда,1
говорить,Команда,1
знать!,Команда,1
стоять!,Команда,1
хотеть!,Команда,1
иметь!,Команда,1
видь!,Команда,1
ведуй,Команда,1
живи,Команда,1
делай,Команда,1
работай,Команда,1
понимай,Команда,1
пойди,Команда,1
дай,Команда,1
спроси,Команда,1
получи,Команда,1
сиди,Команда,1
окажись,Команда,1
откажись,Команда,1
возьми,Команда,1
найди,Команда,1
стой,Команда,1
реши,Команда,1
прийми,Команда,1
читай,Команда,1
бывай,Команда,1
веди,Команда,1
хоти,Команда,1
весь,Команда,1
покажи,Команда,1
поставь,Команда,1
назови,Команда,1
требуй,Команда,1
сядь,Команда,1
установи,Команда,1
подними,Команда,1
умей,Команда,1
веди,Команда,1
встань,Команда,1
проводи,Команда,1
брось,Команда,1
объясни,Команда,1
убей,Команда,1
умри,Команда,1
выгляди,Команда,1
попроси,Команда,1
служи,Команда,1
состой,Команда,1
знач,Команда,1
схвати,Команда,1
позвони,Команда,1
имей,Команда,1
стремись,Команда,1
удивись,Команда,1
виси,Команда,1
оставь,Команда,1
сыграй,Команда,1
поддержи,Команда,1
следи,Команда,1
включи,Команда,1
меняй,Команда,1
включи,Команда,1
теряй,Команда,1
повернись,Команда,1
поворотись,Команда,1
возьмись,Команда,1
прочти,Команда,1
тяни,Команда,1
введи,Команда,1
напомни,Команда,1
докажи,Команда,1
приготовьте,Команда,1
запекайте,Команда,1
возьмите,Команда,1
взбейте,Команда,1
добавьте,Команда,1
почистите,Команда,1
перемешайте,Команда,1
залейте,Команда,1
реши,Команда,1
фас,Команда,1
встать,Команда,1
сесть,Команда,1
разойтись,Команда,1
построиться,Команда,1
нари­суй,Команда,1
покрась,Команда,1
скажи,Команда,1
говори,Команда,1
говорить!,Команда,1
сказать!,Команда,1
сделай,Команда,1
распознай,Команда,1
скажи,Команда,1
уйди,Команда,1
прийди,Команда,1
отойди,Команда,1
стой,Команда,1
иди,Команда,1
накажи,Команда,1
давай,Команда,1
выбирай,Команда,1
будь,Команда,1
молчи,Команда,1
скажи,Команда,1
говори,Команда,1
знай,Команда,1
стань,Команда,1
хоти,Команда,1
имей,Команда,1
видь,Команда,1
ведуй,Команда,1
живи,Команда,1
делай,Команда,1
работай,Команда,1
понимай,Команда,1
пойди,Команда,1
дай,Команда,1
спроси,Команда,1
получи,Команда,1
сиди,Команда,1
окажись,Команда,1
откажись,Команда,1
возьми,Команда,1
найди,Команда,1
стой,Команда,1
реши,Команда,1
прийми,Команда,1
читай,Команда,1
бывай,Команда,1
веди,Команда,1
хоти,Команда,1
весь,Команда,1
покажи,Команда,1
поставь,Команда,1
назови,Команда,1
требуй,Команда,1
сядь,Команда,1
установи,Команда,1
подними,Команда,1
умей,Команда,1
веди,Команда,1
встань,Команда,1
проводи,Команда,1
брось,Команда,1
объясни,Команда,1
убей,Команда,1
умри,Команда,1
выгляди,Команда,1
попроси,Команда,1
служи,Команда,1
состой,Команда,1
знач,Команда,1
схвати,Команда,1
позвони,Команда,1
имей,Команда,1
стремись,Команда,1
удивись,Команда,1
виси,Команда,1
оставь,Команда,1
сыграй,Команда,1
поддержи,Команда,1
следи,Команда,1
включи,Команда,1
меняй,Команда,1
включи,Команда,1
теряй,Команда,1
повернись,Команда,1
поворотись,Команда,1
возьмись,Команда,1
прочти,Команда,1
тяни,Команда,1
введи,Команда,1
напомни,Команда,1
докажи,Команда,1
приготовьте,Команда,1
запекайте,Команда,1
возьмите,Команда,1
взбейте,Команда,1
добавьте,Команда,1
почистите,Команда,1
перемешайте,Команда,1
залейте,Команда,1
реши,Команда,1
фас,Команда,1
встать,Команда,1
сесть,Команда,1
разойтись,Команда,1
построиться,Команда,1
нарисуй,Команда,1
покрасить!,Команда,1
сделать!,Команда,1
распознать!,Команда,1
сказать!,Команда,1
уйти!,Команда,1
прийти!,Команда,1
отойти!,Команда,1
стоять!,Команда,1
идти!,Команда,1
назать!,Команда,1
давать!,Команда,1
выбирать!,Команда,1
быть!,Команда,1
молчать!,Команда,1
сказать!,Команда,1
говорить,Команда,1
знать!,Команда,1
стоять!,Команда,1
хотеть!,Команда,1
иметь!,Команда,1
видь!,Команда,1
ведуй,Команда,1
живи,Команда,1
делай,Команда,1
работай,Команда,1
понимай,Команда,1
пойди,Команда,1
дай,Команда,1
спроси,Команда,1
получи,Команда,1
сиди,Команда,1
окажись,Команда,1
откажись,Команда,1
возьми,Команда,1
найди,Команда,1
стой,Команда,1
реши,Команда,1
прийми,Команда,1
читай,Команда,1
бывай,Команда,1
веди,Команда,1
хоти,Команда,1
весь,Команда,1
покажи,Команда,1
поставь,Команда,1
назови,Команда,1
требуй,Команда,1
сядь,Команда,1
установи,Команда,1
подними,Команда,1
умей,Команда,1
веди,Команда,1
встань,Команда,1
проводи,Команда,1
брось,Команда,1
объясни,Команда,1
убей,Команда,1
умри,Команда,1
выгляди,Команда,1
попроси,Команда,1
служи,Команда,1
состой,Команда,1
знач,Команда,1
схвати,Команда,1
позвони,Команда,1
имей,Команда,1
стремись,Команда,1
удивись,Команда,1
виси,Команда,1
оставь,Команда,1
сыграй,Команда,1
поддержи,Команда,1
следи,Команда,1
включи,Команда,1
меняй,Команда,1
включи,Команда,1
теряй,Команда,1
повернись,Команда,1
поворотись,Команда,1
возьмись,Команда,1
прочти,Команда,1
тяни,Команда,1
введи,Команда,1
напомни,Команда,1
докажи,Команда,1
приготовьте,Команда,1
запекайте,Команда,1
возьмите,Команда,1
взбейте,Команда,1
добавьте,Команда,1
почистите,Команда,1
перемешайте,Команда,1
залейте,Команда,1
реши,Команда,1
фас,Команда,1
встать,Команда,1
сесть,Команда,1
разойтись,Команда,1
построиться,Команда,1
нари­суй,Команда,1
покрась,Команда,1
миса реши,Команда,1
миса стань,Команда,1
миса фас,Команда,1
миса разойдись,Команда,1
миса сядь,Команда,1
миса уйди,Команда,1
миса распознай,Команда,1
миса увеличь,Команда,1
миса уменьши,Команда,1
миса установи,Команда,1
миса выключи,Команда,1
миса включи,Команда,1
миса включи,Команда,1
миса включи,Команда,1
миса включи музыку.,Команда,1
миса включи что-нибудь.,Команда,1
миса выключи музыку.,Команда,1
включить музыку из google music,Команда,1
миса включи песню «впусти музыку».,Команда,1
миса включи песню «моряк».,Команда,1
включить песню по названию,Команда,1
миса включи последний альбом би-2.,Команда,1
миса включи альбом «meteora» linkin park.,Команда,1
включить альбом,Команда,1
миса следующий трек.,Команда,1
миса предыдущий трек.,Команда,1
миса 15 умножить на 16.,Команда,1
миса 420 разделить на 15.,Команда,1
миса расписание кинотеатров на завтра.,Команда,1
миса включи телевизор.,Команда,1
миса выключи телевизор.,Команда,1
миса пауза.,Команда,1
миса возобнови.,Команда,1
миса дальше.,Команда,1
миса предыдущее видео.,Команда,1
миса сделай громче.,Команда,1
миса сделай тише.,Команда,1
миса включи ютуб.,Команда,1
миса включи трейлер веном на телевизоре.,Команда,1
миса включи весёлое видео.,Команда,1
миса покажи клип linkin park.,Команда,1
миса включи новости.,Команда,1
миса расскажи новости.,Команда,1
миса новости спорта.,Команда,1
миса новости политики.,Команда,1
реши,Команда,1
стань,Команда,1
фас,Команда,1
разойдись,Команда,1
сядь,Команда,1
уйди,Команда,1
распознай,Команда,1
увеличь,Команда,1
уменьши,Команда,1
установи,Команда,1
выключи,Команда,1
включи,Команда,1
включи,Команда,1
включи,Команда,1
включи музыку.,Команда,1
включи что-нибудь.,Команда,1
