text,agenda,question
"Если бы вы могли послать сообщение всему миру, то какое?",Вопрос,1
"Если бы вы могли посмотреть лишь один фильм до конца жизни, какой это был бы фильм?",Вопрос,1
"Если бы вы могли слушать только один альбом до конца жизни, то какой?",Вопрос,1
"Если бы вы были картофелем, как бы вы хотели быть приготовленным?",Вопрос,1
"У вас есть 20 минут, чтобы составить план действий в случае зомби-апокалипсиса",Вопрос,1
Какой ваш любимый местный ресторан и почему?,Вопрос,1
"Что вы всегда хотели сделать, но пока не сделали? И почему не сделали?",Вопрос,1
Когда вы в последний раз делали что-то впервые?,Вопрос,1
Что вы делаете для борьбы со стрессом?,Вопрос,1
"Какое было самое невероятное событие, которое произошло с вами в другой стране?",Вопрос,1
"Расскажите о себе что-нибудь такое, что удивило бы даже тех людей, которые вас знают",Вопрос,1
Какие события в жизни заставили вас изменить вашу систему ценностей,Вопрос,1
