text,agenda,questionclass
Дело,Дело,2
человек различаться прежде думать говорить делать прежде говорить делать думать,Дело,2
Дело,Дело,2
выходить дом пусть поразмыслить намерен делать снова входить дом пусть поразмыслить сделать,Дело,2
Дело,Дело,2
шутить совершать серьезный дело,Дело,2
Дело,Дело,2
уклоняться дело суетиться мера,Дело,2
Дело,Дело,2
пусть смотреть ошибка сделать несделанный сделать несделанный,Дело,2
Дело,Дело,2
жизнь – сладость дело радость,Дело,2
Дело,Дело,2
бахвальство – хвастун удел язык длинный дело,Дело,2
Дело,Дело,2
откладывать завтра мочь сделать послезавтра успех,Дело,2
Дело,Дело,2
делать заканчивать дело весь жизнь посмотреть хорошенько утро,Дело,2
Дело,Дело,2
оставлять завтра мочь сделать сегодня,Дело,2
глупый слово скупой глупый дело тупой,Дело,2
Дело,Дело,2
занятый нелюбимый дело бездельничать душа,Дело,2
Дело,Дело,2
легкость делать гораздо труд,Дело,2
Дело,Дело,2
принуждать ничто делать хотеться следовать делать весь хотеться,Дело,2
Дело,Дело,2
жизнь бывать подъем спад выдерживать спад — дело налаживаться,Дело,2
Дело,Дело,2
величие человек состоять способность действие правильный приложение свой усилие вещь который необходимо сделать,Дело,2
Дело,Дело,2
высокий образование — показатель ум дорогой подарок — признак любовь обещание слово правдивый ваш опыт внимание поступок отношение человек — понастоящему ценный,Дело,2
Дело,Дело,2
верить говорить красиво слово игра поверять молчаливо творить красивый дело,Дело,2
Дело,Дело,2
начинать малый мечтать великий заниматься одновременно слишком многий вещь заниматься сначала немногий простой дело постепенно переходить сложный думать будущее,Дело,2
Дело,Дело,2
важный сколько болтать министр лишь делать говорить,Дело,2
Дело,Дело,2
великий человек браться великий дело сознавать величие глупец — понимать трудный,Дело,2
Дело,Дело,2
идти заниматься делать должный это чувствовать также твой сердце чувствовать любовь должный любить свой дело дело — отлично вкладываться конец делать хороший дело — находить пробовать пробовать говорить пробовать весь пробовать весь значит должный результат результат — значит ничто заниматься ничто пробовать просто твой дело — это самый важный это менять история заставлять планета двигаться оставлять след свой действие ничто менять делать мир делать счастливый человек — значит вообще существовать,Дело,2
Дело,Дело,2
весь человеческий дело несерьезный относиться нужно серьезно,Дело,2
Дело,Дело,2
выходить уста твой соблюдать исполнять,Дело,2
Дело,Дело,2
обнаруживать свой гнев ненависть лицо слово бесполезно опасно неблагоразумный смешно пойти проявлять гнев ненависть иначе дело,Дело,2
Дело,Дело,2
масса человек путать плохой ведение дело предначертание судьба,Дело,2
Дело,Дело,2
случай смысл злиться дело поправлять дело поправлять,Дело,2
Дело,Дело,2
всякий дело идти настоящий страсть любовь,Дело,2
Дело,Дело,2
страстно хотеть заниматься какойнибудь дело душа скоро дело который страстно увлекать м пожалуй слишком страсть фраза,Дело,2
Дело,Дело,2
хороший дело должно рентабельный иначе оно выигрывать конкуренция дело злой делать хороший дело разоряться дискредитировать дело лишать надежда справедливость жизнь хороший дело оказываться далекий перспектива убыточный значит оно продумывать делаться плохо значит являться хороший,Дело,2
мочь разделять красный море выживать квартал каждый день идти перестрелка превращать вода вино превращать наркоман пропадать человек полноценный член общество слово превращать деньги мочь удивительный верить господь давать свой благословение благословлять стараться использовать свой разум предназначение праведный цель,Дело,2
Дело,Дело,2
конец дело начало дело,Дело,2
Дело,Дело,2
судить человек слово дело,Дело,2
Дело,Дело,2
враг наш отделять слово дело казнить слово одинаковый образ часто свирепо дело,Дело,2
Дело,Дело,2
князь твой – законопреступник сообщник вор весь любить подарок гоняться мзда защищать сирота дело вдова доходить,Дело,2
Дело,Дело,2
стоить делать стоить делать масштабный,Дело,2
Дело,Дело,2
изящество потребный искусство весь дело человеческий,Дело,2
Дело,Дело,2
успех наш безнадежный дело,Дело,2
Дело,Дело,2
великий мысль доводить практика становиться великий дело,Дело,2
Дело,Дело,2
многое нужно сделать земля делать это скоро,Дело,2
Дело,Дело,2
великий составной часть счастие иметь заниматься любить надеяться,Дело,2
Дело,Дело,2
каждый говорить « это сделать » обычно выходить делать это незамедлительно,Дело,2
Дело,Дело,2
самый человечный мочь сделать — это утешать страдающий заставлять встревожиться равнодушный,Дело,2
Дело,Дело,2
увидеть какойто человек делать чтото хороший надеяться благо человек считать скверный человек находиться подобный дело увидеть какойто человек делать чтото скверный остерегаться человек считать благой человек находиться подобный дело знать благой деяние свидетельствовать человек подобный скверный деяние свидетельствовать человек подобный,Дело,2
Дело,Дело,2
желать сердце раскрываться счастие свет пусть наедине совершать дело человек,Дело,2
Дело,Дело,2
вера — слово дело который являться неразлучный качество приносить польза кроме посредством второй,Дело,2
Дело,Дело,2
поистине человек говорить счастливый лишь чей дело совпадать слово чей дело расходиться слово пусть ругать,Дело,2
Дело,Дело,2
сад свой час плодоносить нужный дождь солнце озарение дело хватить сила нужно счастие благословение,Дело,2
Дело,Дело,2
увидеть дело исход злой делать дурной злодей зло повсюду окружать язвить скорпион,Дело,2
Дело,Дело,2
человек должный делать дело который хотя требовать тяжелый физический труд успокаивать разум,Дело,2
