text,agenda,thanks
благодарить … способность дар,Благодарность,1
благодарить … рожать,Благодарность,1
благодарить каждый лепесток,Благодарность,1
благодарить часто вверх смотреть,Благодарность,1
благодарить … требовать взамен …,Благодарность,1
благодарить конец …,Благодарность,1
благодарить,Благодарность,1
спасибо милый,Благодарность,1
сила наш благодарность,Не благодарность,0
спасибо любимый друг,Благодарность,1
справляться смочь осиливать,Благодарность,1
благодарность знать граница,Благодарность,1
очень обязанный,Благодарность,1
знать делать,Благодарность,1
спасибо сделать,Благодарность,1
большой чистый спасибо,Благодарность,1
хотеть искренне поблагодарить,Благодарность,1
невероятно ценить сделать,Благодарность,1
обязанный должный,Благодарность,1
делать ситуация,Благодарность,1
знать отблагодарить,Благодарность,1
тысяча слово « спасибо » хватить выражать насколько благодарный,Благодарность,1
признательный,Благодарность,1
пропадать,Благодарность,1
мочь помогать,Благодарность,1
это забывать,Благодарность,1
благодарить судьба посылать замечательный человек,Благодарность,1
причитаться,Благодарность,1
благодарить забывать это,Благодарность,1
спасибо преогромный сомнение ваш поступок забывать,Благодарность,1
невозможно выражать слово благодарный …,Благодарность,1
очень признательный,Благодарность,1
вельми понеже премного благодарный древний русский,Благодарность,1
спасибо уважать поступок человек,Благодарность,1
помогать,Благодарность,1
ваш услуга участие неоценимый,Благодарность,1
огромный спасибо …,Благодарность,1
спасибо протягивать рука помощь,Благодарность,1
благодарить добросовестный отношение ко,Благодарность,1
благодарный,Благодарность,1
вовремя помогать помогать,Благодарность,1
спасибо ваш старание стремление,Благодарность,1
спасать бог господь,Благодарность,1
вовремя подвертываться посылать бог,Благодарность,1
премного благодарный,Благодарность,1
очень помогать,Благодарность,1
выражать слово весь,Благодарность,1
мочь передавать благодарность слово,Благодарность,1
ваш должник,Благодарность,1
выручать,Благодарность,1
очень везти обращаться,Благодарность,1
принимать искренний глубокий благодарность,Благодарность,1
искренне весь душа помнить день,Благодарность,1
благодарность предел,Благодарность,1
выражать свой признательность,Благодарность,1
большой спасибо,Благодарность,1
очень признательный,Благодарность,1
хватать слово выражать свой благодарность,Благодарность,1
забывать ваш участие,Благодарность,1
ваш помощь оказываться очень кстати,Благодарность,1
благодарный содеять,Благодарность,1
выражать слово благодарность,Благодарность,1
премного благодарный,Благодарность,1
человек,Благодарность,1
благодарить,Благодарность,1
сказать спасибо,Благодарность,1
спасибо сказать,Благодарность,1
спасибо,Благодарность,1
благо дарить,Благодарность,1
фауфп,Не благодарность,0
холодно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
знойно,Не благодарность,0
фауфп,Не благодарность,0
дратуть,Не благодарность,0
гавнопад,Не благодарность,0
ку,Не благодарность,0
✋,Не благодарность,0
✋,Не благодарность,0
✋,Не благодарность,0
✋,Не благодарность,0
✋,Не благодарность,0
прифок,Не благодарность,0
прив,Не благодарность,0
хай,Не благодарность,0
приет,Не благодарность,0
крч скачать нейронка распознавание фотка,Не благодарность,0
москва хуйня,Не благодарность,0
поход класс перевешиает,Не благодарность,0
б просто финансы беспечивать простой человек интересный,Не благодарность,0
никита скидывать робот макрос код макрос хотябать выкладывать,Не благодарность,0
очки удар накинуть наверное стерлинг несколько удушать взять,Не благодарность,0
бакалавр манистра,Не благодарность,0
инф владеть даж расширение мочь давать комментарий,Не благодарность,0
тупой,Не благодарность,0
поход просто конец шарить,Не благодарность,0
переделывать доховать,Не благодарность,0
суть лавка работать,Не благодарность,0
программа собеседник напоминать личный секретарь круг обязанность входить информирование погода перевод деньги напоминание важный событие запись прием врач многий,Не благодарность,0
помощь botfather создавать новый бот telegram изменять настройка существующий например добавлять описание устанавливать аватарка бот,Не благодарность,0
бранить погода – меняться девять человек десять смочь начинать разговор,Не благодарность,0
климат ирландия изумительный погода гробить,Не благодарность,0
нравиться погода новый англия подождать несколько минута,Не благодарность,0
метеорология научный обоснование неверный прогноз,Не благодарность,0
метеоролог лишь различный образ объяснять погода дело заключаться изменять,Не благодарность,0
плохой погода бывать бывать неподходящий костюм сэр ранульф файнс,Не благодарность,0
цель,Не благодарность,0
место,Не благодарность,0
погода,Не благодарность,0
дело,Не благодарность,0
дело,Не благодарность,0
дело,Не благодарность,0
идти дело,Не благодарность,0
оно,Не благодарность,0
оно,Не благодарность,0
заниматься,Не благодарность,0
заниматься весь время,Не благодарность,0
заниматься весь время,Не благодарность,0
особенный вопрос ответ,Не благодарность,0
особенный,Не благодарность,0
особенный,Не благодарность,0
oh ’ really great complaints ’ going,Не благодарность,0
nan,Не благодарность,0
nan,Не благодарность,0
nan,Не благодарность,0
nan,Не благодарность,0
nan,Не благодарность,0
nan,Не благодарность,0
long,Не благодарность,0
nan,Не благодарность,0
much,Не благодарность,0
many,Не благодарность,0
whose,Не благодарность,0
nan,Не благодарность,0
хотеть свой день рождение,Не благодарность,0
аудитория твой,Не благодарность,0
планировать путешествовать,Не благодарность,0
твой экзамен,Не благодарность,0
собираться навещать люся,Не благодарность,0
почему ходить парк вчера,Не благодарность,0
долго оставаться лондон,Не благодарность,0
удаваться получать диплом,Не благодарность,0
сколько человек твой офис,Не благодарность,0
сколько деньги нужно,Не благодарность,0
чей это машина,Не благодарность,0
звонить прошлый ночь,Не благодарность,0
приводить твой сестра школа,Не благодарность,0
заставлять улыбаться,Не благодарность,0
call last night,Не благодарность,0
brought sister school,Не благодарность,0
makes smile,Не благодарность,0
much money need,Не благодарность,0
call last night,Не благодарность,0
go park yesterday,Не благодарность,0
going visit lucy,Не благодарность,0
твой дело —  —  мочь помогать,Не благодарность,0
твой дело,Не благодарность,0
погода,Не благодарность,0
дело,Не благодарность,0
дело,Не благодарность,0
дело,Не благодарность,0
идти дело,Не благодарность,0
оно,Не благодарность,0
оно,Не благодарность,0
business,Не благодарность,0
дело —   — отвечать  — порядок,Не благодарность,0
дело —,Не благодарность,0
дело —   — отвечать  —,Не благодарность,0
твой дело —  —  мочь помогать,Не благодарность,0
твой дело,Не благодарность,0
погода москва год очень хороший,Не благодарность,0
дождь,Не благодарность,0
снег,Не благодарность,0
град,Не благодарность,0
изморось,Не благодарность,0
солнце ярко светить,Не благодарность,0
небо ясный,Не благодарность,0
небо чисто,Не благодарность,0
чистый небо,Не благодарность,0
ярко солнце светить утро,Не благодарность,0
утро дождь,Не благодарность,0
ясный,Не благодарность,0
дождь,Не благодарность,0
дождь,Не благодарность,0
снегопад который начинаться воскресение проходить,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
прохладно,Не благодарность,0
Миса реши,Не благодарность,0
миса стань,Не благодарность,0
миса фас,Не благодарность,0
миса разойдись,Не благодарность,0
миса сядь,Не благодарность,0
миса уйди,Не благодарность,0
миса распознай,Не благодарность,0
миса увеличь,Не благодарность,0
миса уменьши,Не благодарность,0
миса установи,Не благодарность,0
миса выключи,Не благодарность,0
миса включи,Не благодарность,0
миса включи,Не благодарность,0
миса включи,Не благодарность,0
Миса включи музыку.,Не благодарность,0
Миса включи что-нибудь.,Не благодарность,0
Миса выключи музыку.,Не благодарность,0
Включить музыку из Google Music,Не благодарность,0
Миса включи песню «Впусти музыку».,Не благодарность,0
Миса включи песню «Моряк».,Не благодарность,0
Включить песню по названию,Не благодарность,0
Миса включи последний альбом Би-2.,Не благодарность,0
Миса включи альбом «Meteora» Linkin Park.,Не благодарность,0
Включить альбом,Не благодарность,0
Миса следующий трек.,Не благодарность,0
Миса предыдущий трек.,Не благодарность,0
Миса 15 умножить на 16.,Не благодарность,0
Миса 420 разделить на 15.,Не благодарность,0
Миса расписание кинотеатров на завтра.,Не благодарность,0
Миса включи телевизор.,Не благодарность,0
Миса выключи телевизор.,Не благодарность,0
Миса пауза.,Не благодарность,0
Миса возобнови.,Не благодарность,0
Миса дальше.,Не благодарность,0
Миса предыдущее видео.,Не благодарность,0
Миса сделай громче.,Не благодарность,0
Миса сделай тише.,Не благодарность,0
Миса включи ютуб.,Не благодарность,0
Миса включи трейлер Веном на телевизоре.,Не благодарность,0
Миса включи весёлое видео.,Не благодарность,0
Миса покажи клип Linkin Park.,Не благодарность,0
Миса включи новости.,Не благодарность,0
Миса расскажи новости.,Не благодарность,0
Миса новости спорта.,Не благодарность,0
Миса новости политики.,Не благодарность,0
реши,Не благодарность,0
стань,Не благодарность,0
фас,Не благодарность,0
разойдись,Не благодарность,0
сядь,Не благодарность,0
уйди,Не благодарность,0
распознай,Не благодарность,0
увеличь,Не благодарность,0
уменьши,Не благодарность,0
установи,Не благодарность,0
выключи,Не благодарность,0
включи,Не благодарность,0
включи,Не благодарность,0
включи,Не благодарность,0
включи музыку.,Не благодарность,0
включи что-нибудь.,Не благодарность,0
выключи музыку.,Не благодарность,0
Включить музыку из Google Music,Не благодарность,0
включи песню «Впусти музыку».,Не благодарность,0
включи песню «Моряк».,Не благодарность,0
Включить песню по названию,Не благодарность,0
включи последний альбом Би-2.,Не благодарность,0
включи альбом «Meteora» Linkin Park.,Не благодарность,0
Включить альбом,Не благодарность,0
следующий трек.,Не благодарность,0
предыдущий трек.,Не благодарность,0
15 умножить на 16.,Не благодарность,0
420 разделить на 15.,Не благодарность,0
расписание кинотеатров на завтра.,Не благодарность,0
включи телевизор.,Не благодарность,0
выключи телевизор.,Не благодарность,0
пауза.,Не благодарность,0
возобнови.,Не благодарность,0
дальше.,Не благодарность,0
предыдущее видео.,Не благодарность,0
сделай громче.,Не благодарность,0
сделай тише.,Не благодарность,0
включи ютуб.,Не благодарность,0
включи трейлер Веном на телевизоре.,Не благодарность,0
включи весёлое видео.,Не благодарность,0
покажи клип Linkin Park.,Не благодарность,0
включи новости.,Не благодарность,0
расскажи новости.,Не благодарность,0
новости спорта.,Не благодарность,0
новости политики.,Не благодарность,0
спасибо быстро отвечать — знать сказать,Не благодарность,0
благодарить внимание,Не благодарность,0
